feature,importance
meses_sin_comprar,0.72179264
pct_terr,0.087276004
vs_med_terr,0.07495597
cool_lost_3m,0.023761684
lag1,0.016394572
num_coolers,0.016108602
sin_coolers,0.014134416
num_doors,0.011920726
t_lag1,0.006186955
cool_lag2,0.004821431
cool_lag3,0.0042124926
lag1_cero,0.002770882
lag1_lt5,0.002475059
caida_vs_max,0.0023824528
lag1_lt10,0.0016648303
lag3,0.0010809238
min3,0.00075409847
std3,0.00071850244
ratio_anio,0.0006908644
trend3,0.00064372126
cool_lost,0.00063446414
cool_lag1,0.00049279834
meses_lt10,0.00048176863
mean3,0.00047035833
t_lag2,0.00041311825
lag2,0.0003715524
trend6,0.00037077672
comercial_subchannel_d,0.00030129787
territory_d,0.00029031918
accel,0.00025430977
lag6,0.00019757624
ventas_max,0.00017419513
lag5,0.00015900219
perdio_cooler,0.00014549238
months_active,0.00013903629
lag4,0.00011202362
mean6,9.549905e-05
v_anio_ant,6.559996e-05
rtm_customer_size_d,4.759908e-05
cayendo2,3.6349753e-05
